,matchId,riotIdGameName,championName,kills,deaths,assists,goldEarned,totalDamageDealtToChampions,totalDamageTaken,totalTimeCCDealt,physicalDamageDealtToChampions,magicDamageDealtToChampions,trueDamageDealtToChampions,challenges.killParticipation,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,totalHealsOnTeammates,win,teamId,puuid,item0,item1,item2,item3,item4,item5,item6,hiddenImpactScore,isPlayerTeam
7,VN2_908281522,Cozy Bearrrrr,Udyr,16,20,37,17397,67866,66269,1686,7164,58801,1900,0.7571428571428571,False,False,False,True,0,False,200,mh3B8Naz1MbJ6RE7dJTu3ZCLh7Rwo6CCJQiA-fVlLXUuQmkibMVMztpCLALJMMJQm4QOevN1-u0lnA,Liandry's Torment,"Jak'Sho, The Protean",Fimbulwinter,Sunfire Aegis,Bloodletter's Curse,Abyssal Mask,Poro-Snax,6.64781458837224,True
8,VN2_908281522,Người Khiêng Hòm,Swain,9,15,41,15318,57622,95991,379,2181,54699,742,0.7142857142857143,False,False,False,False,0,False,200,aTa5_43m0w8crNsi-i9nxGpSVU06WZBuK-h9bZEOK0g_lJox3XF4Dv4BzVwZieRj0QwlGnJ4SZbftg,Rod of Ages,Liandry's Torment,Bloodletter's Curse,Spirit Visage,"Jak'Sho, The Protean",Ruby Crystal,Poro-Snax,5.336308959387131,True
5,VN2_908281522,Bé Cường,Zeri,20,17,31,18534,68661,43447,58,54181,14479,0,0.7285714285714285,False,False,True,False,0,False,200,8UIhStkspIglog9paowA4mXzlckT-xySwWNIFac3o2ojumva9ffkFMda_jGpW_hhInKWpvUp5pPPrA,Yun Tal Wildarrows,Berserker's Greaves,Maw of Malmortius,Mortal Reminder,Kaenic Rookern,Runaan's Hurricane,Poro-Snax,4.394703541290515,True
6,VN2_908281522,UnbeatableVN,Morgana,16,11,39,17288,55072,49539,372,1364,49923,3783,0.7857142857142857,False,False,False,True,0,False,200,DV0Aad31H16g3lItoojolWMPZQYOj0l90KzVSUV-qF3QlF92hOC_WLLssdR1MqPS-3UMEKp0Mn5woA,Rod of Ages,Liandry's Torment,Bloodletter's Curse,Rylai's Crystal Scepter,Oblivion Orb,Rabadon's Deathcap,Poro-Snax,4.3781544600894,True
9,VN2_908281522,VIE WoangJ,Senna,9,10,46,16617,42798,29960,237,42582,215,0,0.7857142857142857,False,False,False,False,4315,False,200,bAS7jKeLItW4dK9xzAZpikjJgLJaVGrQKctflgRER2XIFMPxZ3JJ3R-_JU4HyeBc55ZebLogMFZNvQ,Kaenic Rookern,Yun Tal Wildarrows,Mercury's Treads,Infinity Edge,Black Cleaver,Hexdrinker,Poro-Snax,4.1573669135254265,True
4,VN2_908281522,TiepThiSua,MissFortune,25,12,35,19730,79820,38217,139,76943,1867,1009,0.821917808219178,False,True,False,False,838,True,100,lK2o4S2ByFOTv_qfgDG9AciA9_DNkhcxsQ29NcWbk6TMgjdL1JywmAoWFIK1KV8R9h5yHZ7uVDeLDg,Bloodthirster,The Collector,Immortal Shieldbow,Mortal Reminder,Infinity Edge,Berserker's Greaves,Poro-Snax,6.474797799998098,False
1,VN2_908281522,Miyabi,Sion,1,17,49,15129,41578,123365,590,26241,13179,2157,0.684931506849315,False,False,False,False,0,True,100,DvvKRcYP8WEWDKKORDxs3z77dVhn9V_Hqy-fOjPS0k91XnrKXR5S_bFgXiATjDgSMLtbj8-iB2QJdQ,Warmog's Armor,Hollow Radiance,Heartsteel,Mercury's Treads,Unending Despair,Cloth Armor,Poro-Snax,6.230012417027812,False
3,VN2_908281522,Juleven,Diana,24,16,33,20111,74557,43969,50,4048,66763,3744,0.7808219178082192,False,True,False,False,0,True,100,0-sMV59WM6ptEX8TM78sQmXdpqIiUNFssEpHkg3yA5vnRJ2-Vr5UhCn42bMosrz4JKs5lYbqo3PEuQ,Hextech Rocketbelt,Sorcerer's Shoes,Shadowflame,Rabadon's Deathcap,Void Staff,Riftmaker,Poro-Snax,4.985691587735356,False
2,VN2_908281522,Lào Gì Cũng Tôn,Malphite,14,11,38,17453,42897,29119,424,6627,33865,2404,0.7123287671232876,False,True,False,False,0,True,100,WY-Fz-bp2dEnDkDTjsvDV8zCo9Hu6Km4WWjGQWdGINVrO2kgOgBhVAEtRhNgi6fVOu11SQoxaQxqFQ,Malignance,Sorcerer's Shoes,Stormsurge,Rabadon's Deathcap,Needlessly Large Rod,Axiom Arc,No Item,4.2289249828540925,False
0,VN2_908281522,Thành ở Bảo Lộc,Nasus,9,14,37,17076,33362,73639,319,23890,9472,0,0.6301369863013698,True,False,False,False,0,True,100,jsTFCgA8TPYKK3-sNR2v5tgZFkRTE9dRYzRzXlhr01xeASVFdDZO5p5haza4ZLvsbJ2j2kYrtXg1OQ,Trinity Force,Mercury's Treads,Spirit Visage,Frozen Heart,Force of Nature,Thornmail,Poro-Snax,4.080573212384642,False
